text,target
"ఒక్కొక్కరిని‌ 20 లక్షలు అడిగారని, సుపుత్రుడి దందా అని",0
"ఆయా శాఖ అధికారులతో తక్షణమే నివేదిక తెప్పించుకొని రైతులకు వేసవిలో చెల్లించే వనరుల గురించి విస్తృతంగా ప్రచార కార్యక్రమాలు , రైతుల అవగాహన కోసం ఏర్పాటు చర్యలు తీసుకోవాలని కన్నా లక్ష్మీనారాయణ సూచించారు.
",1
"దాదాపు 36 భారీ వాహనాలకు నిప్పు పెట్టారు.
",0
"ఇప్పుడు కొన్ని కీలక సన్నివేశాల విషయంలో చిరంజీవి పూర్తి సంతృప్తి వ్యక్తం చేయడం లేదని, తన ఆస్థాన నమ్మకస్థులు పరుచూరి బ్రదర్స్, సత్యానంద్ లంటి వాళ్లకు చూపించి, సలహాలు తీసుకుని, రీషూట్ లు, మార్పులు చేర్పులు చేయిస్తున్నారని గ్యాసిప్ వినిపిస్తోంది",0
"అవి నాకు ఎన్నో సందర్భాల్లో ఉపయోగపడ్డాయి.
",1
ప్రపంచకప్‌లో భాగంగా భారత్‌-ఆస్ట్రేలియాల మధ్య జరుగుతున్న మ్యాచ్‌లో  టీడీపీ  ఎంపీ రామ్మోహన్‌నాయుడు సందడి చేశారు,1
"కోవై సరళ, దేవదర్శినితో పాటు హీరోయిన్లందరినీ వంగోపెట్టి వెనుక బెల్టుతో కొట్టే సన్నివేశం సుదీర్ఘంగా సాగుతూ భావదారిద్య్రానికి ప్రతీకగా నిలుస్తుంది",0
అయితే ఇప్ప‌టికిప్పుడు ప‌వ‌న్ మ‌ళ్లీ ప్ర‌జ‌ల్లోకి వెళ్ల‌లేడు,0
ఇప్పట్లో టీడీపీ మళ్లీ అధికారంలోకి రావడం కష్టమే అని ఫిక్స్ అవుతున్నారు,0
"క్రికెట్‌ను ప్రేమించిన ఎల్‌రీసా ఆల్‌రౌండర్‌గా రాణించి అద్భుత ప్రతిభ కనబరిచింది.
",1
అరెస్టు చేసి శుక్రవారం రిమాండ్‌కు తరలించారు,0
"ఉదయ్‌పూర్‌కు చెందిన ఓ మానసిక రోగికి కడుపు నొప్పి వచ్చింది.
",0
"భారత్ అతిపెద్ద ప్రజాస్వామ్య దేశమని గర్వంగా చెప్పగలనన్నారు.
",1
"అయితే, తాజాగా దీనిని సడలించిన అధికారులు చంద్రబాబును సాధారణ ప్రయాణికులు వెళ్లేమార్గంలో పంపించటంతో పాటు అణువణువూ తనిఖీ చేశారు.
",0
అసలు సూపర్‌ స్టార్‌ రజనికాంత్‌ సినిమా వస్తుంది అంటే ఎంత సందడి ఉంటుంది.,1
"నెగెటివ్‌ షేడ్స్‌ ను కూడా చాలా బాగా చూపించారు.
",1
భారీ బడ్జెట్ సినిమాలకు కేరాఫ్ అడ్రెస్‌గా మారిన మైత్రీ మూవీ మేకర్స్‌కు ఓ ప్రాజెక్టు చేయడానికి ప్రశాంత్ నీల్ డీల్ కుదుర్చుకున్నట్టు తెలుస్తోంది,1
"గాయపడిన వారిని ఆస్పత్రికి తరలించారు.
",1
"రోడ్డుపై వేగంగా వెళుతున్న కారు అదుపుతప్పి పక్కనే ఉన్న కాలువలో పడింది.
",0
"చెన్నై ఖాతాలో నాలుగో విజయం చేరింది.
",1
బాటమ్‌ లైన్‌: బోరింగ్‌ బ్లఫ్స్‌!,0
దర్శకుడిగా నాకు మంచి ఫ్లాట్‌ఫామ్ ఇచ్చిన అందరికీ కృతజ్ఞతలు అన్నారు,1
ఎందుకంటే రుణాల కంటే డిపాజిట్ల పెరుగుదల మందగించింది,0
"ఈ కార‌ణంగా ఆర్జిత వసంతోత్సవ సేవను టిటిడి రద్దు చేసింది.
",0
"దేశ వ్యాప్తంగా ఇవాళ వైద్యులు సమ్మె చేయనున్నారు.
",0
శతకం తర్వాత వార్నర్‌ ఆకాశమే హద్దుగా చెలరేగిపోయాడు,1
కొన్ని చోట్ల గోడలు కూలినట్లు తమకు నివేదికలు అందాయని తెలిపారు,0
"వైకుంఠం వెలుపల సైతం క్యూలైన్లలో భక్తులు వేచి ఉన్నారు.
",0
కీల‌క‌మైన నాలుగో స్థానం ఇంకా కుదురుకోలేదు,0
ఓట‌ర్ సినిమా వివాదాల్లో కూరుకుపోతోంది,0
"కొడుకును ఇంటికి తీసుకెళ్తుండగా బసిరెడ్డి మనుషులు దాడి చేసి నారప రెడ్డిని చంపేస్తారు.
",0
తండ్రిని మించిన తనయుడవుతాడన్న నమ్మకం కలుగుతోంది,1
లోస్కోరింగ్‌ మ్యాచ్‌లో భారత్‌ 66 పరుగుల తేడాతో విజయం సాధించింది.,1
"సార్వత్రిక ఎన్నికల ఫలితాల తర్వాత ముఖ్యమంత్రి పదవికి చంద్రబాబు రాజీనామాతో మంత్రి మండలి కూడా రద్దైంది.
",0
దేశంలోని 7 ప్రధాన నగరాల్లో 5:6 లక్షల యూనిట్స్‌ పూర్తి అయ్యేందుకు ఇది తోడ్పడుతుంది,1
"12 మంది కాంగ్రెస్‌ ఎమ్మెల్యేలు, సీఎల్పీని తెరాసలో విలీనం చేయడాన్ని నిరసిస్తూ సీఎల్పీ నేత భట్టి విక్రమార్క ఆధ్వర్యంలో ప్రజాస్వామ్య పరిరక్షణ సత్యాగ్రహం పేరుతో 36 గంటల దీక్ష చేస్తున్నారు",0
"బాలికల 10 మీటర్ల విభాగంలోతనిష్క (ఆంధ్ర ప్రదేశ్‌), మినాల్‌ (హర్యానా), వి స్ఫూర్తి (ఆంధ్ర ప్రదేశ్‌) మొదటి మూడు స్థానాల్లో నిలిచారు.
",1
ఎలాగైనా టీమిండియాను ఓడించాలన్న ఉద్దేశంతో ఆసీస్‌ అన్ని ఆయుధాలకు పదును పెడుతోంది.,0
"ఇక ఆయ‌న ఈ రోజు జ‌రిగిన వైసిపి సి ఎల్పీ స‌మావేశంలో మాట్లాడుతూ, ఈ కొత్త మంత్రి వ‌ర్గం ప‌ద‌వీకాలం రెండున్న‌ర ఏళ్లే అంటూ బాంబు పేల్చారు.
",0
"నేడు విడుదలవుతున్న చిత్రం కోసం చాలా కష్టపడ్డామని ఇప్పటికే సల్మాన్, కత్రినాలు వివిధ సందర్భాల్లో చెబుతూ వచ్చారు",1
టీడీపీ అధికార ప్రతినిధి సాధినేని యామినిపై పలు కేసులు నమోదు అవుతున్నాయి,0
"మల్కాజ్ గిరిలో తన గెలుపుపై కేటీఆర్‌ చేసిన వ్యాఖ్యలు గురివింద సామెతను గుర్తు చేస్తున్నాయని రేవంత్‌ ఎద్దేవా చేశారు.
",0
"5 లీటర్స్‌ సిడిఆర్‌ఇ ఇంజిన్‌ కలిగిన ఈ స్టోర్ట్స్‌ జీప్‌ 105 హార్స్‌ పవర్‌, 247ఎన్‌ఎం టార్క్‌ శక్తిని కలిగి ఉంది.",1
ఇక ఇంటర్నేషనల్‌ క్రికెట్లో అన్ని ఫార్మాట్లలో ఐదుకంటే ఎక్కువ టోర్నీలు(8) గెలిచిన దేశంగా భారత్‌ తొలిస్థానంలో నిలిచింది.,1
ఆఖరి ఓవర్‌కు ముందు వరుణుడు మ్యాచ్‌ను అడ్డుకున్నాడు,0
అమ్మ ఒడి పథకం విధివిధానాలు తెలియకుండా ప్రైవేటు స్కూల్స్‌ అమ్మ ఒడి పేరు ఉపయోగిస్తే కఠిన చర్యలు తీసుకుంటామన్నారు,0
అయితే వారి స్థాయికి నేను ఇంకా చేరుకోలేదు.,0
టీమిండియా గ్రూప్‌ స్టేజీని బంగ్లాపై ఘన విజయంతో ఆరంభించింది.,1
ఇటీవల విడుదలైన ఈ సినిమా ట్రైలర్‌కు విశేషమైన స్పందన లభించింది.,1
"అంతకుముందు,టాస్‌ ఓడి ఆర్‌సీబీకి శుభారంభం దక్కలేదు.
",0
"అయితే దాన్నే నిజ జీవితంలోనూ రిపీట్ చేయాల‌నుకోవ‌డం మూర్ఖ‌త్వం, త‌ల పొగ‌రెక్కిన వ్య‌వ‌హారం",0
యూట్యూబ్‌ హిస్టరీలో ఏ ఇండియన్‌ హీరోకు లేని విధంగా రెండు డబుల్‌ మిలియన్‌ సినిమాలు తన ఖాతాలో త్వరలోనే వేసుకో బోతున్నాడు.,1
బలవంతంగా పెళ్లిళ్లు చేసుకునేవారు.,0
"ఈ సందర్భంగా పిల్లి సుభాష్‌చంద్రబోస్‌కు పలువురు నేతలు సన్మానించి స్వీట్లు తినిపించారు.
",1
"ఈనాడు డిజిటల్‌, హైదరాబాద్‌: ఆంధ్ర జట్టు అద్భుత విజయం సాధించింది",1
దీంతో 39 పరుగులకే మూడు వికెట్లు కోల్పోయి టీమిండియా కష్టాల్లో పడింది.,0
కానీ ఇప్పుడు ఈవీఎంలపై ప్రతిపక్షాల ఆరోపణలను వారు అనవసర రాద్ధాంతమని కొట్టిపారేస్తున్నారు,0
"కుసుమ జగదీశ్ జెడ్పీ చైర్మన్‌గా, వైస్ చైర్మన్ బడే నాగజ్యోతి ఎన్నికైయ్యారు",1
"టీడీపీ అభ్యర్థి గాలి భానుప్రకాశ్ పై 2 వేల 681 ఓట్ల మెజార్టీతో ఈ విజయం సొంతం చేసుకున్నారు.
",1
"అంతేకాదు కెప్టెన్‌గా ధోనికి ఇది 200వ వన్డే మ్యాచ్‌ కావడం విశేషం.
",1
"ఏపీలో మ‌ధ్యాహ్నం 12 గంట‌ల‌కు అత్య‌ధిక ఉష్ణోగ్ర‌త‌లు నమోదయ్యాయి.
",0
చదువులో చురుగ్గా ఉండే అతను కొద్ది రోజులుగా మానసికంగా ఇబ్బంది పడుతుండటాన్ని సహ విద్యార్థులు గ్రహించి ధైర్యం చెబుతుండేవారు,1
నేటికీ 3:50 లక్షల మంది రైతులకు 2500 కోట్ల రూపాయిలు చెల్లించకపోవడం దారుణమని అన్నార్ఘు,0
"దినేశ్‌ కార్తీక్‌, పంత్‌, హార్దిక్‌ చెత్త షాట్లకు ఔటయ్యారు.
",0
"మాజీ ప్రధాని మన్మోహన్‌ సింగ్‌, కాంగ్రెస్‌ సీనియర్‌ నాయకులు గులాం నబీ ఆజాద్‌, రాజస్థాన్‌ సీఎం అశోక్‌ గెహ్లాట్‌, కాంగ్రెస్‌ పార్టీ జనరల్‌ సెక్రటరీ ప్రియాంక గాంధీ రాహుల్‌కు పుష్పగుచ్ఛం ఇచ్చి జన్మదిన శుభాకాంక్షలు తెలిపారు",1
ఇప్పుడున్న పరిస్థితి ఇలాగే కొనసాగితే అది వాయిదా పడే అవకాశం కూడా ఉందని వినికిడి.,0
ఇప్పటి వరకూ ఐపీఎల్‌లో అడుగుపెట్టని చక్రవర్తి అరంగ్రేటం ఘనంగా జరిగింది.,1
"ఆసీస్‌ పిచ్‌లపై హనుమ విహారి డిఫెన్స్‌, క్రీజులో పాతుకుపోయిన తీరు నన్ను ఎంతగానో ఆకట్టుకుంది” అని కుంబ్లే తెలిపాడు.
",1
సినిమా బాగుంది అని అప్లాజ్ వచ్చింది,1
"అగ్నిమాపక సిబ్బంది మంటలను అదుపు చేసింది.
",1
"తిరుమల శ్రీ వేంకటేశ్వర స్వామి వారి ఆలయంలో భక్తుల రద్దీ కొనసాగుతోంది.
",0
"తమపై వచ్చిన ఆరోపణలపై ఒక్క ఆధారమైనా చూపించాలని ఈ సందర్భంగా కోడెల సవాల్ విసిరారు.
",0
"ఎవరికి వారు విడివిడిగా కాకుండా కలసికట్టుగా పనిసీజయలని ఉమా హితవు పలికారు.
",1
చివర్లో బ్యాటింగ్‌కు వచ్చి ప్రత్యర్థి జట్టును ఇబ్బంది పెట్టేవారు.,0
కానీ ఎన్టీఆర్‌ని చూస్తుంటే మాత్రం గాయం ఇంకా మాన‌లేద‌నిపిస్తోంది,0
స్థలాల కేటాయింపులో ప్రభుత్వ వైఖరి రాజ్యాంగ విరుద్ధమని అన్నారు,0
"దీంతో ఖలీల్‌ విసిరిన బంతి అతడికే తాకింది.
",0
"హింసద్వారా గెలవాలని ప్రయత్నిస్తున్నారని ఆరోపించారు.
",0
"ఇటు పల్లె అందాలని, అటు మ్యాన్‌హటన్‌ భవంతులని మోహనన్‌ కెమెరా మనోహరంగా బంధించింది",1
ఇప్పటికే విడుదలైన ఆడియోకు మంచి రెస్పాన్స్ వచ్చింది,1
"ఒకవైపు ఎండ తీవ్రత అధికం కావడం మరోవైపు వర్షాలు ఆలస్యం కావడం ఇంకోవైపు భూగర్భ జలాలు రోజు రోజుకు అడుగంటుతున్న స్థితిలో నాకు అప్పగించిన కీలకమైన జలవనరుల శాఖను సమర్ధ వంతంగా నిర్వహించి రైతుల కళ్ళల్లో ఆనందం చూసేలా సేద్యపు నీటి వనరులను సద్వినియోగం చేసే విధానాన్ని అమలుచేస్తానని శ్రీ అనిల్‌కుమార్‌ చెప్పారు.
",1
"ఇప్పటికే జనసేన అధికార ప్రతినిధి అద్దెపల్లి శ్రీధర్ పార్టీతో అంటిముట్టనట్టుగా వ్యవహరిస్తుండగా.
",0
"సింధుతో పాటు సైనా నెహ్వాల్‌, ప్రముఖ రెజ్లర్‌ గీతా ఫొగాట్‌ కూడా ర్యాంప్‌ వాక్‌ చేసి ఆకట్టుకున్నారు.",1
"ఇటీవల జరిగిన ఏపీ అసెంబ్లీ ఎన్నికల్లో పత్తిపాడు నుంచే పోటీచేసి విజయం సాధించారు.
",1
తొలి గేమ్‌లో శ్రీకాంత్‌ ఏమాత్రం పోటీ ఇవ్వలేకపోయాడు.,0
"పారా క్రీడల్లో.. స్వర్ణాల మోత.
",1
"అయితే తొలి భాగాన్ని ఆసక్తికరంగా నడిపించిన వంశీ, ద్వితీయార్థంలో మాత్రం కాస్త తడబడ్డాడు.
",0
నిర్మాత మరెన్నో సినిమాలు తీయాలి.,1
"ఆర్టీజీఎస్‌ సమాచారం ఎంతో ఉపయోగపడిందని రైల్వే శాఖ కూడా తెలిపింది.
",1
వినోదభరిత ప్రయాణంలో ఏ ఢోకా ఉండదు అంటూ చిత్ర బ_x005F_x007f_ందం పేర్కొంది.,1
ఇంటర్వ్యూయర్‌ ప్రపంచకప్‌ గెలిచిన సందర్భాన్ని గొప్పగా వివరిస్తూ విజేత జట్టు సభ్యులందరి పేర్లు చెప్పాడు.,1
మరోవైపు యస్‌ బ్యాంకు అధికంగా 5:94శాతం నష్టపోయింది,0
కానీ ఈ మధ్యే బ్యాడ్‌ టైం స్టార్ట్‌ అయ్యింది.,0
"అలా టైటిల్ కొంచెం లెంగ్తీ అయినా, ఎన్నిసార్లు తలచుకుంటే అంతమంచిదన్న ఉద్దేశమూ ఇందులో ఉంది",1
"మాక్స్‌వెల్‌ (52) పోరాటం వృథా అయ్యింది.
",0
